,title,subtitle,author,publication_date,language,genre,resource_type,creation_date
2924,Twelve treasures from the Library of the Book Club of California /[edited by Barbara J. Land],,"[['Land, Barbara J. (Barbara Jane)'], ['Book Club of California']]",1997,English,History,text,1998
2925,yage letters,,"[['Burroughs, William S.'], ['Ginsberg, Allen'], ['Britton, Burt'], ['Horowitz, Michael'], ['Fitz Hugh Ludlow Memorial Library'], ['Julio Mario Santo Domingo Collection']]",1963,English,Biography,text,1972
2926,Hasegawa Machiko zenshū,NaN,"[['Hasegawa, Machiko'], ['長谷川町子']]",1998,Japanese,"['Comics (Graphic works)', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels', 'Bandes dessinées.']",text,1997
2927,J.K. Rowling,,"Errington, Philip W.",2015,English,"['bibliography', 'text', 'still image', 'Bibliographies', 'Bibliographies.', 'Bibliographies.', 'Bibliographies', 'Bibliographies.']",text,2014
2928,Miniature books,,"[['Bromer, Anne'], ['Edison, Julian I.'], ['Marcus, Stanley'], ['Holzenberg, Eric'], ['Grolier Club']]",2007,English,"['bibliography', 'text', 'still image', 'Toy and movable books', 'Exhibition catalogs', 'History', 'Toy and movable books', 'Exhibition catalogs-New York (State)-New York-2007.', 'Exhibition catalogs']",text,2006
2929,Capacity building in the African publishing industry and educational development in Nigeria,,Nigerian Book Fair Trust,,English,"['bibliography', 'conference publication', 'Conference papers and proceedings']",text,2008
2930,"voice, the Word, the books",,"Peters, F. E. (Francis E.)",2007,English,"['text', 'Sacred works', 'Comparative studies', 'Sacred works', 'Livres sacrés.']",text,2006
2931,"Economic, social and cultural rights as human rights",,"[['Schutter, Olivier de.'], ['Schutter, Olivier de'], ['Edward Elgar Publishing']]",,English,NaN,text,2015
2932,Golden legacy,,"Marcus, Leonard S.",2007,English,"['Bibliographies', 'Juvenile works', 'Bibliographies']",text,2006
2933,John Updike,,"[['De Bellis, Jack.'], ['Broomfield, Michael.']]",,English,"['bibliography', 'CD-ROMs.', 'Bibliographies']",text,2006
2934,history of the book in America,NaN,"[['Amory, Hugh.'], ['Hall, David D.'], ['Gross, Robert A.'], ['Kelley, Mary.'], ['Casper, Scott E.'], ['Groves, Jeffrey D.'], ['Nissenbaum, Stephen W.'], ['Winship, Michael.'], ['Kaestle, Carl F.'], ['Nord, David Paul'], ['Rubin, Joan Shelley.'], ['Schudson, Michael.'], ['Radway, Janice.'], ['American Antiquarian Society'], ['University of North Carolina Press']]",9999,English,"['bibliography', 'History', 'History.']",text,2007
2936,How to make books,NaN,"[['Smith, Esther K.'], ['Stadig, Lindsay'], ['Zimmerman, David Michael'], ['Purgatory Pie Press']]",2007,English,"['bibliography', 'text', 'Handbooks and manuals']",text,2007
2937,French vernacular books,books published in the French language before 1601 = Livres vernaculaires français : livres imprimés en français avant 1601,"[['Pettegree, Andrew'], ['Walsby, Malcolm'], ['Wilkinson, Alexander S.'], ['Walsby, Malcolm'], ['Wilkinson, Alexander S.']]",,French,"['bibliography', 'Bibliographies', 'Bibliographies', 'Catalogues.', 'Bibliographies.', 'Bibliographies', 'Catalogs']",text,2007
2938,"Fairs, markets and the itinerant book trade",NaN,"[['Myers, Robin'], ['Harris, Michael'], ['Mandelbrote, Giles'], [""Antiquarian Booksellers' Association""], ['Conference on Book Trade History (27th : 2005 : London, England)']]",,English,"['bibliography', 'conference publication', 'biography', 'Conference papers and proceedings', 'History', 'Conference papers and proceedings']",text,2007
2939,analects of Confucius,NaN,"[['Confucius'], ['Watson, Burton']]",2007,English,"['bibliography', 'Translations']",text,2007
2940,culture and commerce of publishing in the 21st century,NaN,"[['Greco, Albert N.'], ['Rodriguez, Clara E.'], ['Wharton, Robert M.']]",,English,bibliography,text,2006
2941,Iulius Africanus Chronographiae,,"[['Iulius Africanus'], ['Wallraff, Martin']]",2011,English,"['dictionary', 'government publication', 'text']",text,2025
2942,Persepolis,,"Satrapi, Marjane",2007,French,"['Graphic novels', 'Comics (Graphic works)', 'Comic books, strips, etc.', 'Graphic novels', 'Comics (Graphic works)', 'Biographies', 'Comics (Graphic works)', 'Graphic novels', 'History', 'Personal narratives', 'Comics (Graphic works)', 'Biographies', 'Comics (Graphic works)', 'Graphic novels.', 'History.', 'Personal narratives.']",text,2007
2943,Commerce in culture,,"Brokaw, Cynthia Joanne.",,English,"['bibliography', 'Bibliographies', 'History', 'Bibliographies', 'History.']",text,2007
2944,illustrators,,"[['Nickerson, Fiona'], ['Wootton, David'], ['Nickerson, Fiona'], ['Wootton, David'], ['Chris Beetles Limited'], ['Chris Beetles Limited']]",2007,English,"['catalog', 'Exhibition catalogs']",text,2008
2945,Introduction to manuscript studies,,"[['Clemens, Raymond'], ['Graham, Timothy']]",2007,English,"['bibliography', 'text', 'still image']",text,2007
